Species,A19_average,gfas_v1p2,perc_change,type
Acetaldehyde,1.1635,3.27,-64.41896024,peat
Acetaldehyde,2.26,2.26,0,tropical_forest
Acetaldehyde,1.211481292,0.9793,23.7089035,temperate_forest
Acetaldehyde,0.843903003,0.4967,69.90195358,savannah_and_grassland
Acetaldehyde,0.814066718,0.9793,-16.87259086,boreal_forest
Acetaldehyde,1.782,2.77,-35.66787004,agricultural_residue
Acetone,0.63,0.63,0,tropical_forest
Acetone,0.762195275,0.6726,13.32073671,temperate_forest
Acetone,0.469052848,0.4829,-2.86749887,savannah_and_grassland
Acetone,0.7098,1.13,-37.18584071,agricultural_residue
Acetone,1.59428772,0.6726,137.0335593,boreal_forest
Acetone,0.9055,1.5,-39.63333333,peat
BC_or_EC,0.505723564,0.5652,-10.5230779,tropical_forest
BC_or_EC,0.532212691,0.4624,15.0979004,savannah_and_grassland
BC_or_EC,0.552156826,0.5615,-1.66396696,temperate_forest
BC_or_EC,0.423819957,0.4207,0.741610849,agricultural_residue
BC_or_EC,0.431687594,0.5615,-23.1188612,boreal_forest
BC_or_EC,0.1006,0.04,151.5,peat
Benzene,0.266753844,0.3058,-12.76852706,agricultural_residue
Benzene,0.569628501,0.5319,7.093156764,boreal_forest
Benzene,0.326562983,0.2774,17.72277697,savannah_and_grassland
Benzene,0.417416348,0.5319,-21.52352924,temperate_forest
Benzene,0.37753662,0.372,1.488338721,tropical_forest
Benzene,0.867,3.19,-72.82131661,peat
Butanes,0.055511865,0.0555,0.021378378,tropical_forest
Butanes,0.028165315,0.0258,9.167887229,savannah_and_grassland
Butanes,0.411,0.0555,640.5405405,peat
Butanes,0.162787357,0.1284,26.7814309,boreal_forest
Butanes,0.05955418,0.0315,89.0608875,agricultural_residue
Butanes,0.110788418,0.1284,-13.71618568,temperate_forest
Butenes,0.224958333,0.2,12.47916667,agricultural_residue
Butenes,0.263333883,0.2829,-6.916266087,boreal_forest
Butenes,0.914,0.2456,272.1498371,peat
Butenes,0.159534942,0.161,-0.909974217,savannah_and_grassland
Butenes,0.28279638,0.2829,-0.036627649,temperate_forest
Butenes,0.245587566,0.2456,-0.005062602,tropical_forest
C,432.2776924,407.1358873,6.175285904,agricultural_residue
C,491.8102209,487.3182909,0.921765111,temperate_forest
C,479.7575595,487.3182909,-1.551497561,boreal_forest
C,496.2931969,496.3710133,-0.015677068,tropical_forest
C,566.1530351,576.1145455,-1.729085035,peat
C,487.9874602,480.5218497,1.553646422,savannah_and_grassland
C2H4,0.832048447,0.8404,-0.993759268,savannah_and_grassland
C2H4,1.473666667,2.57,-42.65888457,peat
C2H4,1.539428092,1.1799,30.47106467,boreal_forest
C2H4,1.106153642,1.476,-25.05734133,tropical_forest
C2H4,1.112643996,1.1799,-5.700144404,temperate_forest
C2H4,0.995116751,1.3273,-25.02699079,agricultural_residue
C2H6,0.970566338,0.7163,35.49718521,boreal_forest
C2H6,0.694364563,0.7163,-3.062325438,temperate_forest
C2H6,0.416673287,0.3233,28.88131358,savannah_and_grassland
C2H6,1.845,1.1209,64.5998751,peat
